car_ID,CarName,colour,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,kerbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,highwaympg,mileage (km/l),emission_levels (g/km of CO2),battery_capacity (kWh),car_weight,cruise_control,electronic_braking_system,hill_hold,tire_pressure_monitoring_system,sunroof,ventilated_seat,new_car_price
123,plymouth fury gran sedan,standard,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,4,98,2bbl,2.97,3.23,9.4,68,5500,38,11.22,149.76,46,1268,no,no,no,no,no,no,1894641
124,plymouth valiant,standard,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,30,15.79,141.83,46,1288,no,no,no,no,no,no,2221329
125,plymouth duster,metallic,gas,turbo,2,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,4,156,spdi,3.59,3.86,7,145,5000,24,10.95,133.8,46,1572,no,no,no,no,no,no,3178236
126,porsche macan,metallic,gas,std,2,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,4,151,mpfi,3.94,3.11,9.5,143,5500,27,14.92,148.09,42,1328,no,no,no,no,no,no,5482482
127,porcshce panamera,metallic,gas,std,2,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,25,12.17,120.5,42,1250,no,no,no,no,no,no,8099472
128,porsche cayenne,metallic,gas,std,2,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,25,14.21,137.53,42,1233,no,no,no,no,no,no,8472972
129,porsche boxter,metallic,gas,std,2,convertible,rwd,rear,89.5,168.9,65,51.6,2800,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,25,11.52,145.84,42,1168,no,no,no,no,no,no,9219972
130,porsche cayenne,metallic,gas,std,2,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,8,203,mpfi,3.94,3.11,10,288,5750,28,15.46,131.17,42,1392,no,no,no,no,no,no,7818724.5
131,renault 12tl,standard,gas,std,4,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,31,11.77,126.5,54,1156,no,no,no,no,no,no,2314455
132,renault 5 gtl,standard,gas,std,2,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,31,12.09,144.13,54,1416,no,no,no,no,no,no,2463855
133,saab 99e,metallic,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,4,121,mpfi,3.54,3.07,9.31,110,5250,28,13.58,132.46,42,1162,no,no,no,no,no,no,2950650
134,saab 99le,metallic,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,28,10.18,140.8,42,1487,no,no,no,no,no,no,3030330
135,saab 99le,metallic,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,4,121,mpfi,2.54,2.07,9.3,110,5250,28,14.53,127.13,42,1157,no,no,no,no,no,no,3744960
136,saab 99gle,metallic,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,28,12.98,119.8,42,1214,no,no,no,no,no,no,3861990
137,saab 99gle,metallic,gas,turbo,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,4,121,mpfi,3.54,3.07,9,160,5500,26,10.41,135.53,42,1388,no,no,no,no,no,no,4519350
138,saab 99e,metallic,gas,turbo,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,4,121,mpfi,3.54,3.07,9,160,5500,26,15.35,139.89,42,1411,no,no,no,no,no,no,4636380
139,subaru,standard,gas,std,2,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,4,97,2bbl,3.62,2.36,9,69,4900,36,13.69,142.24,42,1270,no,no,no,no,no,no,1274382
140,subaru dl,standard,gas,std,2,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,31,14.76,128.11,40,1463,no,no,no,no,no,no,1756197
141,subaru dl,standard,gas,std,2,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,31,10.99,123.44,40,1177,no,no,no,no,no,no,1893147
142,subaru,standard,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2145,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4800,37,14.38,146.75,40,1354,no,no,no,no,no,no,1774374
143,subaru brz,standard,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2190,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4400,33,11.37,130.52,40,1298,no,no,no,no,no,no,1935975
144,subaru baja,standard,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2340,ohcf,4,108,mpfi,3.62,2.64,9,94,5200,32,14.25,143.88,40,1294,no,no,no,no,no,no,2480040
145,subaru r1,standard,gas,std,4,sedan,4wd,front,97,172,65.4,54.3,2385,ohcf,4,108,2bbl,3.62,2.64,9,82,4800,25,13.13,130.85,40,1207,no,no,no,no,no,no,2299017
146,subaru r2,metallic,gas,turbo,4,sedan,4wd,front,97,172,65.4,54.3,2510,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,29,10.9,148.95,40,1418,no,no,no,no,no,no,2803491
147,subaru trezia,standard,gas,std,4,wagon,fwd,front,97,173.5,65.4,53,2290,ohcf,4,108,2bbl,3.62,2.64,9,82,4800,32,13.55,149.01,40,1170,no,no,no,no,no,no,1858287
148,subaru tribeca,metallic,gas,std,4,wagon,fwd,front,97,173.5,65.4,53,2455,ohcf,4,108,mpfi,3.62,2.64,9,94,5200,31,15.91,138.55,40,1260,no,no,no,no,no,no,2539302
149,subaru dl,standard,gas,std,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,4,108,2bbl,3.62,2.64,9,82,4800,29,11.44,120.44,40,1251,no,no,no,no,no,no,1995237
150,subaru dl,metallic,gas,turbo,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,23,13.96,131.77,40,1361,no,no,no,no,no,no,2911806
151,toyota corona mark ii,standard,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,4,92,2bbl,3.05,3.03,9,62,4800,39,10.63,148.64,56,1187,no,no,no,no,no,no,1331652
152,toyota corona,standard,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,4,92,2bbl,3.05,3.03,9,62,4800,38,14.98,127.23,56,1517,no,no,no,no,no,no,1578162
153,toyota corolla 1200,standard,gas,std,4,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,4,92,2bbl,3.05,3.03,9,62,4800,38,12.54,145.11,56,1357,no,no,no,no,no,no,1615512
154,toyota corona hardtop,standard,gas,std,4,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,4,92,2bbl,3.05,3.03,9,62,4800,37,15.13,134.72,56,1526,no,no,no,no,no,no,1722582
155,toyota corolla 1600 (sw),standard,gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,4,92,2bbl,3.05,3.03,9,62,4800,32,11.61,122.57,56,1241,no,no,no,no,no,no,1966602
156,toyota carina,standard,gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,4,92,2bbl,3.05,3.03,9,62,4800,32,13.24,141.72,56,1539,no,no,no,no,no,no,2185722
157,toyota mark ii,standard,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2081,ohc,4,98,2bbl,3.19,3.03,9,70,4800,37,11.85,121.81,56,1286,no,no,no,no,no,no,1727562
158,toyota corolla 1200,standard,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,4,98,2bbl,3.19,3.03,9,70,4800,37,15.22,131.06,56,1578,no,no,no,no,no,no,1792302
159,toyota corona,standard,diesel,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2275,ohc,4,110,idi,3.27,3.35,22.5,56,4500,36,13.8,133.1,56,1217,no,no,no,no,no,no,1966602
160,toyota corolla,standard,diesel,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,4,110,idi,3.27,3.35,22.5,56,4500,47,14.61,138.12,56,1522,no,no,no,no,no,no,1939212
161,toyota corona,standard,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2094,ohc,4,98,2bbl,3.19,3.03,9,70,4800,47,10.77,132.13,56,1497,no,no,no,no,no,no,1926762
162,toyota corolla,standard,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,4,98,2bbl,3.19,3.03,9,70,4800,34,12.97,125.66,56,1343,no,no,no,no,no,no,2081142
163,toyota mark ii,standard,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,4,98,2bbl,3.19,3.03,9,70,4800,34,15.53,139.19,56,1257,no,no,no,no,no,no,2305242
164,toyota corolla liftback,standard,gas,std,2,sedan,rwd,front,94.5,168.7,64,52.6,2169,ohc,4,98,2bbl,3.19,3.03,9,70,4800,34,11.03,124.01,56,1225,no,no,no,no,no,no,2006442
165,toyota corona,standard,gas,std,2,hatchback,rwd,front,94.5,168.7,64,52.6,2204,ohc,4,98,2bbl,3.19,3.03,9,70,4800,34,15.58,121,56,1476,no,no,no,no,no,no,2051262
166,toyota celica gt liftback,standard,gas,std,2,sedan,rwd,front,94.5,168.7,64,52.6,2265,dohc,4,98,mpfi,3.24,3.08,9.4,112,6600,29,14.3,144.41,56,1449,no,no,no,no,no,no,2315202
167,toyota corolla tercel,standard,gas,std,2,hatchback,rwd,front,94.5,168.7,64,52.6,2300,dohc,4,98,mpfi,3.24,3.08,9.4,112,6600,29,10.25,122.62,56,1206,no,no,no,no,no,no,2374962
168,toyota corona liftback,standard,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52,2540,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,30,13.67,128.4,56,1453,no,no,no,no,no,no,2103801
169,toyota corolla,standard,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52,2536,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,30,10.74,139.71,56,1193,no,no,no,no,no,no,2400111
170,toyota starlet,standard,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52,2551,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,30,12.67,148.96,56,1468,no,no,no,no,no,no,2487261
171,toyota tercel,metallic,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52,2679,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,30,15.65,143.76,56,1277,no,no,no,no,no,no,2788551
172,toyota corolla,metallic,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52,2714,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,30,10.31,129.8,56,1471,no,no,no,no,no,no,2875701
173,toyota cressida,metallic,gas,std,2,convertible,rwd,front,98.4,176.2,65.6,53,2975,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,30,14.19,137.39,56,1433,no,no,no,no,no,no,4399581
174,toyota corolla,standard,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,34,11.99,139.12,56,1415,no,no,no,no,no,no,2228052
175,toyota celica gt,metallic,diesel,turbo,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,4,110,idi,3.27,3.35,22.5,73,4500,33,15.81,129.96,56,1243,no,no,no,no,no,no,2663802
176,toyota corona,standard,gas,std,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,32,13.09,122.37,56,1386,no,no,no,no,no,no,2487012
177,toyota corolla,metallic,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,32,12.84,125.15,56,1527,no,no,no,no,no,no,2713602
178,toyota mark ii,metallic,gas,std,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,32,10.48,143,56,1182,no,no,no,no,no,no,2800752
179,toyota corolla liftback,metallic,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52,2976,dohc,6,171,mpfi,3.27,3.35,9.3,161,5200,24,15.68,143.58,56,1478,no,no,no,no,no,no,4122942
180,toyota corona,metallic,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52,3016,dohc,6,171,mpfi,3.27,3.35,9.3,161,5200,24,11.66,143.89,56,1310,no,no,no,no,no,no,3983502
181,toyota starlet,metallic,gas,std,4,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,6,171,mpfi,3.27,3.35,9.2,156,5200,24,13.11,148.97,56,1263,no,no,no,no,no,no,3906810
182,toyouta tercel,metallic,gas,std,4,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,6,161,mpfi,3.27,3.35,9.2,156,5200,24,14.34,131.89,56,1473,no,no,no,no,no,no,3921750
183,vokswagen rabbit,standard,diesel,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,4,97,idi,3.01,3.4,23,52,4800,46,10.58,123.36,54,1329,no,no,no,no,no,no,1935975
184,volkswagen 1131 deluxe sedan,standard,gas,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,4,109,mpfi,3.19,3.4,9,85,5250,34,15.26,146.46,54,1432,no,no,no,no,no,no,1985775
185,volkswagen model 111,standard,diesel,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,4,97,idi,3.01,3.4,23,52,4800,46,12.36,146.56,54,1383,no,no,no,no,no,no,1990755
186,volkswagen type 3,standard,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,4,109,mpfi,3.19,3.4,9,85,5250,34,14.97,145.45,54,1533,no,no,no,no,no,no,2040555
187,volkswagen 411 (sw),standard,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,4,109,mpfi,3.19,3.4,9,85,5250,34,12.01,139.3,54,1296,no,no,no,no,no,no,2115255
188,volkswagen super beetle,standard,diesel,turbo,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,4,97,idi,3.01,3.4,23,68,4500,42,15.03,141.5,54,1261,no,no,no,no,no,no,2364255
189,volkswagen dasher,standard,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,4,109,mpfi,3.19,3.4,10,100,5500,32,12.49,142.29,54,1469,no,no,no,no,no,no,2488755
190,vw dasher,metallic,gas,std,2,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,ohc,4,109,mpfi,3.19,3.4,8.5,90,5500,29,13.84,147.14,54,1198,no,no,no,no,no,no,2887155
191,vw rabbit,standard,gas,std,2,hatchback,fwd,front,94.5,165.7,64,51.4,2221,ohc,4,109,mpfi,3.19,3.4,8.5,90,5500,29,11.38,134.66,54,1211,no,no,no,no,no,no,2485020
192,volkswagen rabbit,metallic,gas,std,4,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,24,13.91,127.37,54,1197,no,no,no,no,no,no,3310455
193,volkswagen rabbit custom,metallic,diesel,turbo,4,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,4,97,idi,3.01,3.4,23,68,4500,38,10.82,125.16,54,1479,no,no,no,no,no,no,3447405
194,volkswagen dasher,metallic,gas,std,4,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,4,109,mpfi,3.19,3.4,9,88,5500,31,14.27,128.13,54,1570,no,no,no,no,no,no,3060210
195,volvo 145e (sw),metallic,gas,std,4,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,28,11.13,148.57,52,1340,no,no,no,no,no,no,3222060
196,volvo 144ea,metallic,gas,std,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,28,15.84,126.18,52,1301,no,no,no,no,no,no,3340335
197,volvo 244dl,metallic,gas,std,4,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,28,10.71,139.06,52,1531,no,no,no,no,no,no,3980265
198,volvo 245,metallic,gas,std,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,28,13.36,121.11,52,1358,no,no,no,no,no,no,4112235
199,volvo 264gl,metallic,gas,turbo,4,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,4,130,mpfi,3.62,3.15,7.5,162,5100,22,12.82,140.46,52,1240,no,no,no,no,no,no,4586580
200,volvo diesel,metallic,gas,turbo,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,4,130,mpfi,3.62,3.15,7.5,162,5100,22,11.31,139.04,52,1353,no,no,no,no,no,no,4718550
201,volvo 145e (sw),metallic,gas,std,4,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,28,15.56,127.12,52,1161,no,no,no,no,no,no,4194405
202,volvo 144ea,metallic,gas,turbo,4,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,4,141,mpfi,3.78,3.15,8.7,160,5300,25,13.47,126.7,52,1336,no,no,no,no,no,no,4742205
203,volvo 244dl,metallic,gas,std,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,6,173,mpfi,3.58,2.87,8.8,134,5500,23,10.67,142.35,52,1512,no,no,no,no,no,no,5349765
204,volvo 246,metallic,diesel,turbo,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,6,145,idi,3.01,3.4,23,106,4800,27,14.42,128.58,52,1295,no,no,no,no,no,no,5595030
205,volvo 264gl,metallic,gas,turbo,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,25,12.73,149.77,52,1228,no,no,no,no,no,no,5633625
206,hyundai grand i10,standard,petrol,std,4,hatchback,fwd,front,100.4,187.5,66.9,52.5,935,l,4,120,mpfi,3.34,3.05,8.88,182,5700,38,8.72,200.76,60,1721,,,,,,,854900
207,maruti suzuki celerio,standard,petrol,std,4,hatchback,fwd,front,102.9,176.2,65.7,52.6,905,l,3,100,mpfi,3.87,3.85,7.95,86,5600,34,13.19,244.92,56,2120,,,,,,,705500
208,renault triber,standard,petrol,std,4,mpv,fwd,front,95.7,173.6,64.8,55.6,975,l,3,100,mpfi,2.83,3.26,10.82,102,5300,34,9.4,212.14,54,1845,,,,,,,854900
209,tata tigor,standard,petrol,std,4,sedan,fwd,front,107.9,193.8,65.6,52.6,1126,l,3,120,mpfi,3.69,3.5,7.33,121,5700,37,8.21,225.75,50,2013,,,,,,,954500
210,mahindra scorpio,standard,diesel,std,4,mid-suv,rwd,front,97.2,186.6,63.8,51.6,1800,l,4,220,idi,2.93,3.5,8.11,155,5400,32,8.08,225.69,60,2237,,,,,,,2016900
211,ford figo,standard,petrol,std,4,hatchback,fwd,front,99.8,169.7,68.4,54.3,1016,l,3,150,mpfi,3.54,2.99,9.91,70,5200,24,12.53,197.39,54,1902,,,,,,,996000
212,kia sonet,standard,petrol,turbo,4,compact-suv,fwd,front,95.1,157.3,67.9,54.7,1287,l,4,150,mpfi,3.43,3.36,10.47,116,5400,25,12.87,217.71,64,1656,,,,,,,1411000
213,maruti fronx,standard,petrol,turbo,4,compact-suv,fwd,front,93.1,165.3,65.5,53.7,1060,l,4,150,mpfi,2.76,3.15,9.24,68,5600,33,9.06,206.04,50.3,1965,,,,,,,2075000
214,hyundai creta,standard,petrol,turbo,4,compact-suv,fwd,front,99.5,173.2,67.2,50.5,1411,l,4,150,mpfi,3.61,3.9,8.56,145,5200,25,12.31,247.95,39.2,2189,,,,,,,1817700
215,mahindra thar,standard,diesel,turbo,2,off-road suv,rwd,front,93.7,176.6,68.4,54.5,1710,l,4,220,idi,3.51,3.03,7.55,110,5200,24,8.95,199.57,65,1743,,,,,,,1618500
216,toyota fortuner,metallic,petrol,turbo,4,mid-suv,rwd,front,96.9,168.7,63.8,55.7,2180,l,4,280,mpfi,3.74,3.64,9.78,95,5100,23,13.92,233.24,56,2067,,,,,,,4042100
217,tata punch,standard,petrol,turbo,4,micro-suv,fwd,front,89.5,172.4,64.6,56.2,1035,l,3,120,mpfi,3.25,3.01,8.22,176,5000,31,9.24,198.59,45.1,1998,,,,,,,904700
